Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2020,129621,Chalet Living and Rehab,Submitted Data,7350 7352 N SHERIDAN RD,60626,1.0,false,ROGERS PARK,Senior Living Community,77004,1976,1,,7,3786934.1,11175808,,,,223.3,333.4,238,347.3,1184.6,17.7,42.01036185,-87.66829765,POINT (-87.66829765 42.01036185)
2020,250020,Gage Park,Submitted Data,2411 W 55th St,60632,2.0,false,GAGE PARK,Other - Recreation,64960,1926,1,,,847144,6955745.2,,,,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907,POINT (-87.68432907 41.79382847)
2020,254001,,Submitted Data,4434 4444 N Damen Ave,60625,2.5,false,North Center,Multifamily Housing,53800,2006,1,,51,2985049.6,5693982,,,,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256,POINT (-87.70256 41.9720897)
2020,251757,"Thorp Scholastic Academy, Ole A -CPS",Submitted Data,6024 W Warwick Ave,60634,4.0,false,DUNNING,K-12 School,93200,1918,1,,61,1246831.5,5832379.9,,,,76,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435,POINT (-87.77785435 41.94895308)
2020,250165,River East Center Campus,Submitted Data,322 E Illinois St,60611,1.0,false,NEAR NORTH SIDE,Mixed Use Property,1975361,2001,1,,20,64410587.3,102156516.4,,,,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748,POINT (-87.61889748 41.8914469)
2020,157100,,Submitted Data,1611  W DIVISION ST,60622,4.0,false,WEST TOWN,Multifamily Housing,112734,2013,1,,81,2292017.8,4175204.4,,,,59.4,99.2,59.8,100.2,579.5,5.3,41.90225377,-87.68447845,POINT (-87.68447845 41.90225377)
2020,101722,500 W Monroe,Submitted Data,500 W Monroe,60661,1.0,false,NEAR WEST SIDE,Office,1554884,1992,1,,29,98139027.4,,,,,85.5,239.3,92.1,257.8,15316.5,13.3,41.880609,-87.639778,POINT (-87.639778 41.880609)
2020,101815,,Submitted Data,4845 4859 N MAGNOLIA AVE,60640,4.0,false,UPTOWN,Multifamily Housing,50986,1916,1,,75,417741.4,3243596.1,,,,71.8,89.7,76.5,94.7,237.5,4.7,41.97223008,-87.6645957,POINT (-87.6645957 41.97223008)
2020,251714,Lloyd Elementary -CPS,Submitted Data,2103 N Lamon Ave,60639,2.5,false,BELMONT CRAGIN,K-12 School,150436,1907,1,,32,4506708.5,7731610.1,,,,81.4,137.8,88,144.8,1114,7.4,41.91901757,-87.74788079,POINT (-87.74788079 41.91901757)
2020,175477,,Submitted Data,1617 1633 W BELMONT AVE,60657,3.0,false,LAKE VIEW,Multifamily Housing,56880,1928,1,,47,652896.4,4629361.5,,,,92.9,117.6,103.1,127.7,347.8,6.1,41.9398511,-87.65844752,POINT (-87.65844752 41.9398511)
2020,112141,,Submitted Data,3470  N LAKE SHORE DR,60657,3.0,false,LAKE VIEW,Multifamily Housing,155144,1968,1,,67,2550176.6,7203545.7,,,,73.6,111,77.6,115.2,780.6,5.9,41.9398511,-87.65844752,POINT (-87.65844752 41.9398511)
2020,101910,Michael A. Bilandic Building,Submitted Data,160 N LaSalle St,60601,4.0,false,LOOP,Office,464498,1920,1,,79,13045901.7,12600101.5,,,,55.2,107.1,57.7,109.8,2705.3,5.8,41.88474397,-87.63249596,POINT (-87.63249596 41.88474397)
2020,159419,"Fifth Praire Shores, LLC",Submitted Data,2801 S King Dr,60616,1.0,false,DOUGLAS,Multifamily Housing,289267,1960,1,,21,4709257.4,32647070.7,,,,129.1,164.1,137.5,172.9,2469,8.5,41.84364282,-87.61673336,POINT (-87.61673336 41.84364282)
2020,256550,NEMA Chicago,Submitted Data,1200 S Indiana Ave,60605,3.5,false,Near South Side,Multifamily Housing,1343820,2019,1,,60,32621765.2,38781158.3,,,,64.3,118.9,65.2,117.8,7151.1,6.4,41.865858,-87.6195328,POINT (-87.6195328 41.865858)
2020,255023,Clybourn1200,Submitted Data,454 W DIVISION ST,60610,2.0,false,Near North Side,Multifamily Housing,159968,2017,1,,50,3595190,6327708.9,,,,75.4,126.9,77.9,130.5,897.2,6.8,41.9037676,-87.63983401,POINT (-87.63983401 41.9037676)
2020,166122,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",Submitted Data,1628 W Washington Blvd,60612,4.0,false,NEAR WEST SIDE,K-12 School,263250,1928,1,,79,4772375,7730980.2,,,,47.5,81.6,49.4,83.6,1155.5,4.4,41.88332,-87.667592,POINT (-87.667592 41.88332)
2020,119808,McGowan South,Submitted Data,1110 W Belden,60614,1.0,false,LINCOLN PARK,College/University,127900,2008,1,,,9262579.9,12478551.7,,,,170,305.2,175.1,309.5,2108.4,16.5,41.92382673,-87.65658512,POINT (-87.65658512 41.92382673)
2020,134516,,Submitted Data,321 339 S DESPLAINES ST,60661,2.0,false,NEAR WEST SIDE,Multifamily Housing,178336,1924,1,,43,5499154.7,7444594.3,,,,72.6,130.2,74.9,132.2,1253.7,7,41.88321395,-87.64336601,POINT (-87.64336601 41.88321395)
2020,254102,Residences at the VIC,Submitted Data,3140 N Sheffield Ave,60657,4.0,false,Lake View,Multifamily Housing,148500,2007,1,,100,1555012.2,2847150,,,,37.4,62.4,38.8,64.1,393.9,3.3,41.9393396,-87.65423,POINT (-87.65423 41.9393396)
2020,100372,Holy Cross Hospial,Submitted Data,2701 W 68th St,60629,4.0,false,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1911,1,,76,5050093.6,130271002.2,,,,330.1,368.2,,,7707.5,18.8,41.770003,-87.690841,POINT (-87.690841 41.770003)
2020,113507,LaSalle Terrace Condominium Association,Submitted Data,1540 N LaSalle St,60610,2.5,false,NEAR NORTH SIDE,Multifamily Housing,166700,1976,1,,36,4079885.6,8584849.7,,,,83.9,135.3,87.4,138.8,1092.7,7.2,41.91023785,-87.63363509,POINT (-87.63363509 41.91023785)
2020,147565,Lakeside Lofts,Submitted Data,2025  S INDIANA AVE,60616,4.0,false,NEAR SOUTH SIDE,Multifamily Housing,101333,2006,1,,89,1761482.5,5144159.1,,,,68.1,102,70.5,104.1,548.1,5.4,41.84550365,-87.63055693,POINT (-87.63055693 41.84550365)
2020,251889,Smyser -CPS,Submitted Data,4310 N Melvina Ave,60634,4.0,false,PORTAGE PARK,K-12 School,78111,1932,1,,64,1313825.7,3965590.1,,,,67.6,100.4,75.7,109.6,415.7,5.3,41.95925122,-87.78261967,POINT (-87.78261967 41.95925122)
2020,172640,,Submitted Data,832 890 W 103RD ST,60643,1.5,false,WASHINGTON HEIGHTS,Senior Living Community,65505,2001,1,,36,1807114.6,4835400,,,,101.4,154.8,105.1,157.9,538.9,8.2,41.6981819,-87.66236671,POINT (-87.66236671 41.6981819)
2020,244613,Fairbanks at Cityfront Plaza,Submitted Data,240 E Illinois St,60611,4.0,false,NEAR NORTH SIDE,Multifamily Housing,819946,2006,1,,70,18128454.4,42229277.5,,,,102,160.6,104.8,163.9,5072.3,8.6,41.89139925,-87.62079715,POINT (-87.62079715 41.89139925)
2020,104095,Hall Plaza,Not Submitted,4600 4650 W Diversey Ave,60639,0.0,false,HERMOSA,,53267,,,,,,,,,,,,,,,,41.93162302,-87.74252593,POINT (-87.74252593 41.93162302)
2020,115108,,Not Submitted,3825  N PINE GROVE AVE,60613,0.0,false,LAKE VIEW,,96636,,,,,,,,,,,,,,,,41.95402016,-87.6620278,POINT (-87.6620278 41.95402016)
2020,165664,DANK Haus German American Cultural Center,Submitted Data,4740 N Western Ave,60625,,true,LINCOLN SQUARE,Mixed Use Property,61042,1927,1,,,556057,3000126.4,,,,58.3,77.1,63.5,82.7,246.1,4,41.96811845,-87.68927436,POINT (-87.68927436 41.96811845)
2020,159733,,Submitted Data,4827 N SHERIDAN RD,60640,2.0,false,UPTOWN,Multifamily Housing,189225,1967,1,,48,2974779.6,13988381.3,,,,103.4,140.3,109,146.2,1207.3,7.4,41.96968174,-87.6544131,POINT (-87.6544131 41.96968174)
2020,173476,St. Demetrios Greek Orthodox Church,Submitted Data,2727 W WINONA ST,60625,4.0,false,LINCOLN SQUARE,Worship Facility,68141,1924,1,,67,400830.8,1780584.4,,,,34.5,47.4,41,54.1,157.1,2.5,41.97419798,-87.696868,POINT (-87.696868 41.97419798)
2020,100533,Englewood Academy HS -CPS,Submitted Data,6201 S Stewart Ave,60621,2.0,false,ENGLEWOOD,K-12 School,188800,1979,1,,21,7213052,12271600.2,,,,103.2,175.2,107.5,179.8,1777.5,9.4,41.78205573,-87.63426731,POINT (-87.63426731 41.78205573)
2020,105034,Carmen Marine Tenant Chicago Il,Not Submitted,5030 N Marine Dr,60640,0.0,false,UPTOWN,,397000,,,,,,,,,,,,,,,,41.97403176,-87.65193469,POINT (-87.65193469 41.97403176)
2020,101961,Inland Steel Building,Submitted Data,30 W Monroe,60603,3.0,false,LOOP,Office,311003,1958,1,,63,8659372.7,19525200.4,,,,93.6,148.7,98.4,153.7,2388.5,7.9,41.88108964,-87.62858918,POINT (-87.62858918 41.88108964)
2020,173857,,Submitted Data,5230 5244 N SHERIDAN RD,60640,2.5,false,EDGEWATER,Multifamily Housing,200000,1920,1,,57,2734994.3,16121333,,,,94.3,122.9,99.8,128.7,1283.1,6.4,41.97223008,-87.6645957,POINT (-87.6645957 41.97223008)
2020,242563,(IL279) - 212 W Washington Condo,Submitted Data,212 W Washington St,60606,2.0,false,LOOP,Multifamily Housing,344323,1912,1,,47,8344073.4,12464463.5,,,,74.9,131.2,78.1,134.4,1964.3,7.1,41.88326842,-87.63512143,POINT (-87.63512143 41.88326842)
2020,116752,Ike Sims Village,Submitted Data,3333  W MAYPOLE AVE,60624,1.0,false,EAST GARFIELD PARK,Multifamily Housing,68664,1981,1,,12,3806013.4,2429039.2,,,,90.8,192.3,93.7,198.9,723,10.5,41.8808242,-87.72327934,POINT (-87.72327934 41.8808242)
2020,115046,4200 N Marine Drive,Submitted Data,4200 4212 N MARINE DR,60613,1.5,false,UPTOWN,Multifamily Housing,114400,1957,1,,38,1707115.8,7366474.7,,,,79.3,109.4,84,114.3,657.7,5.7,41.95402016,-87.6620278,POINT (-87.6620278 41.95402016)
2020,160208,The James Hotel,Submitted Data,55 E Ontario St,60611,2.0,false,NEAR NORTH SIDE,Hotel,72000,2000,1,,26,7092609.8,6564979.8,,,,189.7,371.6,189.7,371.6,1455.6,20.2,41.89325924,-87.62587447,POINT (-87.62587447 41.89325924)
2020,222943,University Park Condominium Association,Submitted Data,1451 E 55th St,60615,4.0,false,HYDE PARK,Multifamily Housing,579783,1961,2,,85,1287153.1,48472538.7,,,,92.3,101.1,98.9,107.9,2775.5,5.1,41.79535144,-87.59076509,POINT (-87.59076509 41.79535144)
2020,118892,Parc Chestnut Condominium Association,Submitted Data,849 N Franklin St,60610,2.0,false,NEAR NORTH SIDE,Multifamily Housing,490568,2006,1,,41,11421519.7,19866551.2,,,,82.4,139.2,85.4,141.7,2837.8,7.5,41.897733,-87.635684,POINT (-87.635684 41.897733)
2020,103962,,Not Submitted,2828  N CAMBRIDGE AVE,60657,0.0,false,LAKE VIEW,,75300,,,,,,,,,,,,,,,,41.9398511,-87.65844752,POINT (-87.65844752 41.9398511)
2020,160383,,Submitted Data,2631 S Indiana Ave,60616,3.5,false,DOUGLAS,Multifamily Housing,247000,1972,1,,59,4511342.8,17590419.5,,,,89.5,125.9,93.9,130.5,1638.4,6.6,41.84526992,-87.62201708,POINT (-87.62201708 41.84526992)
2020,251451,Madero Middle -CPS,Submitted Data,3202 W 28th St,60623,2.0,false,SOUTH LAWNDALE,K-12 School,62071,1996,1,,15,2363458.7,3809910,,,,99.5,171.1,103,174.1,571.2,9.2,41.840909,-87.705078,POINT (-87.705078 41.840909)
2020,254153,Terra Cotta Commons Condominium,Submitted Data,1760 W Wrightwood Ave,60614,4.0,false,Lincoln Park,Multifamily Housing,63110,1920,1,,86,825649.4,1711368.1,,,,50.8,82.2,52.5,83.2,219.8,4.4,41.8842525,-87.63245,POINT (-87.63245 41.8842525)
2020,251235,,Submitted Data,110 E Delaware,60611,1.0,false,NEAR NORTH SIDE,Multifamily Housing,108587,1981,1,,4,5844800.9,1545771.6,,,,77.6,188.9,81.3,198.9,994.3,10.4,41.8992147,-87.62541324,POINT (-87.62541324 41.8992147)
2020,102336,Institute of Cultural Affairs,Submitted Data,4750 N Sheridan Rd,60640,4.0,false,UPTOWN,Office,206154,1921,1,,89,2249637.3,9225368.1,,,,66,90.7,70,94.6,926.8,5.1,41.96865627,-87.65524596,POINT (-87.65524596 41.96865627)
2020,160198,"The Blackstone, A Renaissance Hotel",Submitted Data,636 S Michigan Ave,60605,4.0,false,LOOP,Hotel,385000,2008,1,,99,6875145,11153711,,,,46.8,80.4,46.8,80.4,1665.4,4.3,41.87333117,-87.62422947,POINT (-87.62422947 41.87333117)
2020,256736,Jane Addams Elementary School,Submitted Data,10810 S Avenue H,60617,1.5,false,,K-12 School,54000,1948,1,,34,1563900.9,3503850.2,,,,81.7,129.9,92.7,144.4,430.2,6.9,41.74246,-87.58007,POINT (-87.58007 41.74246)
2020,173789,,Not Submitted,5332 5340 W Windsor,60630,0.0,false,PORTAGE PARK,,53018,,,,,,,,,,,,,,,,41.97200414,-87.75756578,POINT (-87.75756578 41.97200414)
2020,256458,United Center Office Building,Not Submitted,1901 W Madison St,60612,0.0,false,,,,,,,,,,,,,,,,,,,41.88125398,-87.67448493,POINT (-87.67448493 41.88125398)
2020,148673,,Submitted Data,1154  N CAMPBELL,60622,1.0,false,WEST TOWN,Multifamily Housing,52240,2005,1,,6,2329570.1,3276799.9,,,,107.6,191,111.8,194.8,537.6,10.3,41.90225377,-87.68447845,POINT (-87.68447845 41.90225377)
2020,121374,8522-Edgewater,Submitted Data,5201 Sheridan Rd,60640,3.5,false,EDGEWATER,Supermarket/Grocery Store,55129,2013,1,,55,9404755.4,6354424.8,,,,285.9,598.7,297,610.4,1805.3,32.7,41.976491,-87.654964,POINT (-87.654964 41.976491)
2020,160186,Crowne Plaza Chicago Metro,Submitted Data,733 W Madison St,60661,4.0,false,NEAR WEST SIDE,Hotel,114000,1968,1,,87,6706204.5,7115700.2,,,,69.1,131.2,71.7,136,1424.6,7.1,41.88176792,-87.6467544,POINT (-87.6467544 41.88176792)
2020,175523,222 West Hubbard Street,Submitted Data,222 W Hubbard St,60654,3.5,false,NEAR NORTH SIDE,Office,66095,1905,1,,76,2260402.2,1730722.9,,,,60.4,123.3,62.8,125.8,444.7,6.7,41.89022006,-87.63488473,POINT (-87.63488473 41.89022006)
2020,254164,,Submitted Data,6515 N Kenmore Ave,60660,4.0,false,Rogers Park,Library,124285,1930,1,,,4264045.2,3398007,,,,61.6,124.8,65.2,128.5,846,6.8,42.00094554,-87.65816364,POINT (-87.65816364 42.00094554)
2020,159902,Montgomery Place,Submitted Data,5550 S SHORE DR,60637,0.0,false,HYDE PARK,Multifamily Housing,225000,1991,1,,,,,,,,,,,,,,41.7937214,-87.58110439,POINT (-87.58110439 41.7937214)
2020,172670,Bricktown Square,Exempt,6560 W Fullerton Ave,60707,,true,BELMONT CRAGIN,,443313,,,,,,,,,,,,,,,,41.92368914,-87.78882768,POINT (-87.78882768 41.92368914)
2020,251416,Linne Elementary -CPS,Submitted Data,3221 N Sacramento Ave,60618,4.0,false,AVONDALE,K-12 School,105920,1895,1,,83,1690363,3212050,,,,46.3,76.5,50.4,81.4,434.4,4.1,41.94009886,-87.70193107,POINT (-87.70193107 41.94009886)
2020,251898,Durkin Park Elementary -CPS,Submitted Data,8445 S Kolin Ave,60652,3.5,false,ASHBURN,K-12 School,79722,1961,1,,57,2216222.5,2182680,,,,55.2,106.6,57.5,109,461.8,5.8,41.73937185,-87.73003923,POINT (-87.73003923 41.73937185)
2020,244200,Michigan Avenue Tower Condominium Association,Submitted Data,1250 S Michigan Ave,60605,3.5,false,NEAR SOUTH SIDE,Multifamily Housing,441181,2008,1,,51,11810740.5,14165958.4,,,,64.5,119.1,66.8,122.8,2595.7,6.4,41.8659887,-87.624587,POINT (-87.624587 41.8659887)
2020,100730,Congress Center,Submitted Data,525 W Van Buren,60607,4.0,false,NEAR WEST SIDE,Office,539738,2000,1,,77,22640612.2,,,,,42.9,120.2,44.5,124.6,3533.5,6.7,41.87630749,-87.6401831,POINT (-87.6401831 41.87630749)
2020,253957,,Submitted Data,7201-09 S Yates Blvd,60649,1.0,false,SOUTH SHORE,Multifamily Housing,101200,1926,1,,10,1340556.3,9883868.5,,,,110.9,139.6,118,147.1,734.2,7.3,41.76263015,-87.57255287,POINT (-87.57255287 41.76263015)
2020,103475,,Not Submitted,7235 7245 S JEFFERY BLVD,60649,0.0,false,SOUTH SHORE,,57776,,,,,,,,,,,,,,,,41.76259226,-87.57231648,POINT (-87.57231648 41.76259226)
2020,101999,,Submitted Data,1415  W LUNT AVE,60626,3.5,false,ROGERS PARK,Multifamily Housing,52000,1972,1,,80,837584.5,2768148,,,,85.9,125,90.7,129.4,277.8,6.6,42.01036185,-87.66829765,POINT (-87.66829765 42.01036185)
2020,252071,Library Tower Condo Assoc.,Submitted Data,520 S State St,60605,3.5,false,LOOP,Multifamily Housing,387025,2008,1,,72,7950181.2,14376343.1,,,,61.4,102.7,63.6,105.1,2004.4,5.5,41.87510719,-87.6279746,POINT (-87.6279746 41.87510719)
2020,251574,Ariel Elemenentary-CPS,Submitted Data,1119 E 46th St,60653,2.5,false,KENWOOD,K-12 School,147109,1893,1,,32,4164781,8226969.9,,,,84.2,138,89.1,141.3,1087,7.4,41.81098941,-87.59800845,POINT (-87.59800845 41.81098941)
2020,256549,,Exempt,110 W Huron St,60654,,true,Near North Side,,120000,,,,,,,,,,,,,,,,41.89293,-87.63511083,POINT (-87.63511083 41.89293)
2020,251668,Ravenswood Elementary -CPS,Submitted Data,4332 N Paulina St,60613,4.0,false,LAKE VIEW,K-12 School,76423,1915,1,,66,947881,4502900.4,,,,71.3,96.6,76.1,101.6,387.1,5.1,41.96092641,-87.6712754,POINT (-87.6712754 41.96092641)
2020,252054,"Rockefeller,Mitchell,Reynolds,Hutchinson,Zoology,Erman,Mandel,Oriental,Pres.Home",Submitted Data,5850 S Woodlawn Ave,60637,1.0,false,HYDE PARK,Museum,103012,1931,1,,,4468194.6,,8115450.9,7421459.9,,194.2,281.8,194,282.1,1627.3,15.8,41.78921164,-87.5964353,POINT (-87.5964353 41.78921164)
2020,252104,Warner Brothers,Submitted Data,2650 W Bradley Pl,60618,2.0,false,North Center,Office,275000,1981,3,,,14878881.9,4162790.1,,,,126.9,306.9,129.6,309.6,2543.2,17,41.9494826,-87.6937,POINT (-87.6937 41.9494826)
2020,173888,,Submitted Data,6628  N SHERIDAN RD,60626,4.0,false,ROGERS PARK,Residence Hall/Dormitory,85129,1971,1,,91,1479114.6,2938900.2,,,,51.9,84.9,55.8,89,386.9,4.5,42.01036185,-87.66829765,POINT (-87.66829765 42.01036185)
2020,251593,"Clay Elementary, Henry -CPS",Submitted Data,13221 S Burley,60633,3.0,false,HEGEWISCH,K-12 School,81950,1917,1,,43,1370731.8,5550389.7,,,,84.5,117.9,97.5,131.7,508.7,6.2,41.655086,-87.544686,POINT (-87.544686 41.655086)
2020,234641,Winston Towers II,Submitted Data,6833 N Kedzie Ave,60645,1.0,false,WEST RIDGE,Multifamily Housing,360669,1966,1,,27,6925520.8,23023027.5,,,,114.9,167.2,121.8,172.8,2303.7,8.8,42.00574707,-87.70855729,POINT (-87.70855729 42.00574707)
2020,254048,Catholic Charities: St. Leo Residence,Submitted Data,7750 S Emerald Ave,60620,1.5,false,Auburn Gresham,Multifamily Housing,67170,2006,1,,31,2413440.7,4708995.6,,,,108.5,178.3,110.4,180.3,626.8,9.5,41.73979805,-87.65349931,POINT (-87.65349931 41.73979805)
2020,119039,Churchview Manors and Churview supportive Living,Submitted Data,2626 2644 W 63RD ST,60629,1.0,false,CHICAGO LAWN,Senior Living Community,74185,2004,1,,25,2325856.1,5277976.8,,,,112.8,178.9,117.5,184.6,643.3,9.5,41.77517105,-87.71389848,POINT (-87.71389848 41.77517105)
2020,251429,Mayo Elementary -CPS,Submitted Data,245 E 37th St,60653,4.0,false,DOUGLAS,K-12 School,62750,1961,1,,65,1044686.8,3067909.7,,,,65.5,98,70.3,103.5,326,5.2,41.827401,-87.620126,POINT (-87.620126 41.827401)
2020,172485,,Submitted Data,36 50 N MENARD AVE,60644,4.0,false,AUSTIN,Multifamily Housing,91968,1930,,,82,927569.2,3339321.9,,,,62.8,89.8,65.6,92.6,322.1,4.7,41.88039405,-87.75826967,POINT (-87.75826967 41.88039405)
2020,255970,Hayden,Submitted Data,1109 W Washington,60607,2.5,false,NEAR WEST SIDE,Multifamily Housing,110435,2020,1,,38,3185730,5929664.5,,,,89,147.9,92.2,150.5,812.1,7.9,41.88,-87.6548399,POINT (-87.6548399 41.88)
2020,255027,,Submitted Data,720 S WELLS ST,60607,4.0,false,Loop,Multifamily Housing,563659,2018,1,,90,11644228.2,11383738.7,,,,50.6,97.9,51.9,99.4,2422,5.3,41.87284786,-87.63364515,POINT (-87.63364515 41.87284786)
2020,251588,"Taylor, Douglas -CPS",Submitted Data,9912 S Avenue H,60617,2.0,false,EAST SIDE,K-12 School,87628,1923,1,,21,1010667.5,9732470.2,,,,122.6,148.9,138.3,165.4,674.7,7.7,41.71516268,-87.5337866,POINT (-87.5337866 41.71516268)
2020,256653,,Not Submitted,3212 West Diversey Ave,,0.0,false,,,50000,,,,,,,,,,,,,,,,41.88425,-87.63245,POINT (-87.63245 41.88425)
2020,251698,Bradwell Arts & Sciences Elementary -CPS,Submitted Data,7726 S Burnham,60649,4.0,false,SOUTH SHORE,K-12 School,143266,1895,1,,91,1661189,4377879.9,,,,42.2,64.6,46.5,69.5,491.8,3.4,41.75447542,-87.55737916,POINT (-87.55737916 41.75447542)
2020,175960,,Submitted Data,5254  S DORCHESTER AVE,60615,1.0,false,HYDE PARK,Multifamily Housing,64000,1925,1,,30,1596529.4,6100596.2,,,,120.3,169.9,125.5,174.6,573.2,9,41.80224043,-87.60332678,POINT (-87.60332678 41.80224043)
2020,244534,One Museum Park East Condominium Association,Submitted Data,1211 S Prairie Ave,60605,4.0,false,NEAR SOUTH SIDE,Multifamily Housing,1151549,2008,1,,81,19781459.6,39525344.4,,,,62.3,101.7,64.7,104.3,5186.7,5.4,41.86619413,-87.62121604,POINT (-87.62121604 41.86619413)
2020,256422,Materials & Metals Building,Submitted Data,3350 S Federal Street,60616,4.0,false,DOUGLAS,College/University,68398,1943,1,,,8148.5,,382.1,,,0.1,0.3,0.1,0.3,1.3,0,41.842325,-87.62715344,POINT (-87.62715344 41.842325)
2020,260029,,Submitted Data,5724 5734 S BLACKSTONE AVE,60637,4.0,false,HYDE PARK,Multifamily Housing,52272,1926,1,,80,545864.8,3010592.1,,,,68,89.7,72,93.9,245.1,4.7,41.78046327,-87.6053081,POINT (-87.6053081 41.78046327)
2020,251491,Frazier International Magnet -CPS,Submitted Data,4027 W Grenshaw St,60624,2.5,false,NORTH LAWNDALE,K-12 School,72000,1966,1,,31,1264862.9,6140970,,,,102.9,138.7,110.9,147.2,523.6,7.3,41.86684246,-87.72623661,POINT (-87.72623661 41.86684246)
2020,103597,30 N LaSalle St,Submitted Data,30 N LaSalle St,60602,3.5,false,LOOP,Office,1095104,1974,1,,76,32826510.8,31469670.8,,,,58.7,114.1,62.2,117.8,6794.7,6.2,41.88284628,-87.63290243,POINT (-87.63290243 41.88284628)
2020,256794,,Exempt,6342 S GREEN ST,60621,,true,Englewood,,50000,,,,,,,,,,,,,,,,41.769845,-87.643155,POINT (-87.643155 41.769845)
2020,103645,203 N LaSalle St,Submitted Data,203 N LaSalle St,60601,4.0,false,LOOP,Office,1191631,1985,1,,74,34656715.2,400857.8,,,,53.1,147.6,55.3,153.7,5430.1,8.2,41.88606221,-87.63169041,POINT (-87.63169041 41.88606221)
