COMMUNITY AREA NAME,CENSUS BLOCK,BUILDING TYPE,BUILDING_SUBTYPE,KWH JANUARY 2010,KWH FEBRUARY 2010,KWH MARCH 2010,KWH APRIL 2010,KWH MAY 2010,KWH JUNE 2010,KWH JULY 2010,KWH AUGUST 2010,KWH SEPTEMBER 2010,KWH OCTOBER 2010,KWH NOVEMBER 2010,KWH DECEMBER 2010,TOTAL KWH,ELECTRICITY ACCOUNTS,ZERO KWH ACCOUNTS,THERM JANUARY 2010,THERM FEBRUARY 2010,THERM MARCH 2010,TERM APRIL 2010,THERM MAY 2010,THERM JUNE 2010,THERM JULY 2010,THERM AUGUST 2010,THERM SEPTEMBER 2010,THERM OCTOBER 2010,THERM NOVEMBER 2010,THERM DECEMBER 2010,TOTAL THERMS,GAS ACCOUNTS,KWH TOTAL SQFT,THERMS TOTAL SQFT,KWH MEAN 2010,KWH STANDARD DEVIATION 2010,KWH MINIMUM 2010,KWH 1ST QUARTILE 2010,KWH 2ND QUARTILE 2010,KWH 3RD QUARTILE 2010,KWH MAXIMUM 2010,KWH SQFT MEAN 2010,KWH SQFT STANDARD DEVIATION 2010,KWH SQFT MINIMUM 2010,KWH SQFT 1ST QUARTILE 2010,KWH SQFT 2ND QUARTILE 2010,KWH SQFT 3RD QUARTILE 2010,KWH SQFT MAXIMUM 2010,THERM MEAN 2010,THERM STANDARD DEVIATION 2010,THERM MINIMUM 2010,THERM 1ST QUARTILE 2010,THERM 2ND QUARTILE 2010,THERM 3RD QUARTILE 2010,THERM MAXIMUM 2010,THERMS SQFT MEAN 2010,THERMS SQFT STANDARD DEVIATION 2010,THERMS SQFT MINIMUM 2010,THERMS SQFT 1ST QUARTILE 2010,THERMS SQFT 2ND QUARTILE 2010,THERMS SQFT 3RD QUARTILE 2010,THERMS SQFT MAXIMUM 2010,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,OCCUPIED UNITS PERCENTAGE,RENTER-OCCUPIED HOUSING UNITS,RENTER-OCCUPIED HOUSING PERCENTAGE,OCCUPIED HOUSING UNITS
West Englewood,170316705001009.0,Residential,Multi < 7,0.0,0.0,0.0,0.0,4306.0,3496.0,2135.0,1648.0,1530.0,1180.0,2122.0,1243.0,17660.0,Less than 4,0,,,,,,,,,,,,,,,2088.0,,17660.0,,17660.0,17660.0,17660.0,17660.0,17660.0,2088.0,,2088.0,2088.0,2088.0,2088.0,2088.0,,,,,,,,,,,,,,,39.0,10.0,2.0,98.0,4.88,8.0,0.8,4.0,0.5,8.0
West Englewood,170316706001007.0,Commercial,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,6.0,12.0,120.0,6.0,213.0,Less than 4,0,,,,,,,,,,,,,,,1668.0,,213.0,,213.0,213.0,213.0,213.0,213.0,1668.0,,1668.0,1668.0,1668.0,1668.0,1668.0,,,,,,,,,,,,,,,47.0,20.0,2.0,106.0,2.94,16.0,0.8,10.0,0.625,16.0
West Englewood,170316713003005.0,Commercial,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,706.0,0.0,775.0,Less than 4,3,,,,,,,,,,,,,,,1156.0,,775.0,,775.0,775.0,775.0,775.0,775.0,1156.0,,1156.0,1156.0,1156.0,1156.0,1156.0,,,,,,,,,,,,,,,9.0,9.0,1.0,101.0,1.8,5.0,0.5556,2.0,0.4,5.0
West Englewood,170316715001018.0,Residential,Multi < 7,0.0,0.0,0.0,0.0,552.0,845.0,1048.0,933.0,550.0,511.0,663.0,802.0,5904.0,Less than 4,0,,,,,,,,,,,,,,,1672.0,,5904.0,,5904.0,5904.0,5904.0,5904.0,5904.0,1672.0,,1672.0,1672.0,1672.0,1672.0,1672.0,,,,,,,,,,,,,,,27.0,12.0,2.0,97.0,4.5,6.0,0.5,4.0,0.667,6.0
West Garfield Park,170312605001005.0,Commercial,Multi < 7,,,,,,,,,,,,,,,4,,,,,2.0,55.0,13.0,19.0,78.0,,31.0,288.0,486.0,Less than 4,,2448.0,,,,,,,,,,,,,,,486.0,,486.0,486.0,486.0,486.0,486.0,2448.0,,2448.0,2448.0,2448.0,2448.0,2448.0,68.0,23.0,2.0,111.0,3.58,19.0,0.8261,14.0,0.737,19.0
West Garfield Park,170312608001012.0,Commercial,Municipal,,,,,,,,,,,,,,,0,17707.0,13584.0,8280.0,3075.0,1758.0,263.0,213.0,316.0,319.0,1215.0,7347.0,16671.0,70748.0,Less than 4,,44285.0,,,,,,,,,,,,,,,70748.0,,70748.0,70748.0,70748.0,70748.0,70748.0,44285.0,,44285.0,44285.0,44285.0,44285.0,44285.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
West Garfield Park,170312609002006.0,Commercial,Commercial,2764.0,3363.0,2764.0,2644.0,2704.0,4504.0,5285.0,4865.0,3600.0,2820.0,2889.0,3064.0,41266.0,Less than 4,0,,,,,,,,,,,,,,,1311.0,,41266.0,,41266.0,41266.0,41266.0,41266.0,41266.0,1311.0,,1311.0,1311.0,1311.0,1311.0,1311.0,,,,,,,,,,,,,,,111.0,33.0,1.0,0.0,3.88,26.0,0.7879,18.0,0.692,26.0
West Garfield Park,170312610002031.0,Commercial,Multi < 7,0.0,1.0,9.0,343.0,1388.0,482.0,920.0,788.0,1264.0,1430.0,1513.0,3104.0,11242.0,Less than 4,0,,,,,,,,,,,,,,,2296.0,,11242.0,,11242.0,11242.0,11242.0,11242.0,11242.0,2296.0,,2296.0,2296.0,2296.0,2296.0,2296.0,,,,,,,,,,,,,,,53.0,24.0,2.0,121.0,3.12,17.0,0.7082,12.0,0.706,17.0
West Lawn,170316502003002.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,279.0,254.0,175.0,125.0,82.0,53.0,54.0,57.0,66.0,82.0,124.0,261.0,1612.0,Less than 4,,966.0,,,,,,,,,,,,,,,1612.0,,1612.0,1612.0,1612.0,1612.0,1612.0,966.0,,966.0,966.0,966.0,966.0,966.0,105.0,26.0,2.0,94.0,5.25,20.0,0.7692,6.0,0.3,20.0
West Pullman,170315301002033.0,Residential,Multi < 7,,,,,,,,,,,,,,,3,498.0,482.0,386.0,130.0,,,,,,,,,1496.0,Less than 4,,1880.0,,,,,,,,,,,,,,,1496.0,,1496.0,1496.0,1496.0,1496.0,1496.0,1880.0,,1880.0,1880.0,1880.0,1880.0,1880.0,28.0,12.0,2.0,96.0,4.0,7.0,0.5832,5.0,0.714,7.0
West Pullman,170315301002036.0,Residential,Multi < 7,,,,,,,,,,,,,,,15,817.0,751.0,397.0,99.0,18.0,19.0,18.0,15.0,17.0,15.0,19.0,521.0,2706.0,Less than 4,,4001.0,,,,,,,,,,,,,,,1353.0,1538.66,265.0,265.0,1353.0,2441.0,2441.0,2000.5,219.91,1845.0,1845.0,2000.5,2156.0,2156.0,11.0,8.0,2.0,103.5,2.75,4.0,0.5,2.0,0.5,4.0
West Pullman,170317207001014.0,Commercial,Commercial,,,,,,,,,,,,,,,2,367.0,347.0,242.0,146.0,116.0,61.0,52.0,46.0,44.0,40.0,96.0,264.0,1821.0,Less than 4,,2570.0,,,,,,,,,,,,,,,910.5,260.92,726.0,726.0,910.5,1095.0,1095.0,1285.0,26.87,1266.0,1266.0,1285.0,1304.0,1304.0,455.0,277.0,1.0,0.0,1.74,262.0,0.9458,249.0,0.95,262.0
West Ridge,170310202004046.0,Residential,Multi 7+,13363.0,9081.0,5526.0,4859.0,6236.0,7738.0,7389.0,5494.0,5892.0,10427.0,18905.0,22112.0,117022.0,8,1,,,,,,,,,,,,,,,6900.0,,117022.0,,117022.0,117022.0,117022.0,117022.0,117022.0,6900.0,,6900.0,6900.0,6900.0,6900.0,6900.0,,,,,,,,,,,,,,,26.0,11.0,3.0,54.0,2.6,10.0,0.9091,5.0,0.5,10.0
West Ridge,170310208024011.0,Commercial,Multi 7+,138.0,189.0,361.0,307.0,451.0,871.0,619.0,496.0,329.0,395.0,562.0,482.0,5200.0,Less than 4,0,,,,,,,,,,,,,,,21155.0,,5200.0,,5200.0,5200.0,5200.0,5200.0,5200.0,21155.0,,21155.0,21155.0,21155.0,21155.0,21155.0,,,,,,,,,,,,,,,56.0,14.0,3.0,83.0,4.0,14.0,1.0,1.0,0.071,14.0
West Ridge,170310207023004.0,Commercial,Multi < 7,1264.0,1069.0,1261.0,1065.0,942.0,2572.0,1688.0,2086.0,846.0,963.0,1988.0,2448.0,18192.0,5,2,521.0,455.0,461.0,271.0,210.0,94.0,88.0,95.0,123.0,122.0,250.0,521.0,3211.0,6,5782.0,5782.0,18192.0,,18192.0,18192.0,18192.0,18192.0,18192.0,5782.0,,5782.0,5782.0,5782.0,5782.0,5782.0,3211.0,,3211.0,3211.0,3211.0,3211.0,3211.0,5782.0,,5782.0,5782.0,5782.0,5782.0,5782.0,159.0,54.0,2.0,21.0,3.18,50.0,0.9259,32.0,0.64,50.0
West Ridge,170310208013013.0,Commercial,Multi < 7,144.0,760.0,655.0,762.0,922.0,951.0,1001.0,909.0,668.0,723.0,821.0,762.0,9078.0,Less than 4,0,,,,,,,,,,,,,,,9680.0,,3026.0,1497.71,1383.0,1383.0,3380.0,4315.0,4315.0,9680.0,,9680.0,9680.0,9680.0,9680.0,9680.0,,,,,,,,,,,,,,,7.0,4.0,1.0,0.0,1.75,4.0,1.0,3.0,0.75,4.0
West Ridge,170310209013018.0,Commercial,Multi < 7,,,,,,,,,,,,,,,4,826.0,759.0,518.0,269.0,182.0,122.0,126.0,113.0,94.0,102.0,258.0,801.0,4170.0,Less than 4,,5301.0,,,,,,,,,,,,,,,4170.0,,4170.0,4170.0,4170.0,4170.0,4170.0,5301.0,,5301.0,5301.0,5301.0,5301.0,5301.0,116.0,39.0,3.0,82.0,3.52,33.0,0.8462,24.0,0.727,33.0
West Town,170312415001004.0,Commercial,Commercial,10302.0,9583.0,8704.0,14020.0,14092.0,17714.0,18488.0,19348.0,14694.0,10778.0,12027.0,13589.0,163339.0,9,4,,,,,,,,,,,,,,,6152.0,,163339.0,,163339.0,163339.0,163339.0,163339.0,163339.0,6152.0,,6152.0,6152.0,6152.0,6152.0,6152.0,,,,,,,,,,,,,,,83.0,50.0,1.0,0.0,1.77,47.0,0.94,17.0,0.362,47.0
West Town,170312433002013.0,Residential,Single Family,357.0,278.0,313.0,420.0,487.0,626.0,976.0,997.0,656.0,648.0,1373.0,1091.0,8222.0,Less than 4,0,,,,,,,,,,,,,,,1650.0,,8222.0,,8222.0,8222.0,8222.0,8222.0,8222.0,1650.0,,1650.0,1650.0,1650.0,1650.0,1650.0,,,,,,,,,,,,,,,51.0,26.0,2.0,114.0,2.04,25.0,0.9615,11.0,0.44,25.0
Woodlawn,170314206001007.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,9231.0,10105.0,Less than 4,1,,,,,,,,,,,,,,,3109.0,,10105.0,,10105.0,10105.0,10105.0,10105.0,10105.0,3109.0,,3109.0,3109.0,3109.0,3109.0,3109.0,,,,,,,,,,,,,,,13.0,8.0,2.0,94.0,4.33,3.0,0.375,3.0,1.0,3.0
Albany Park,170311401001003.0,Residential,Single Family,4926.0,6413.0,5586.0,5606.0,6271.0,11549.0,8549.0,6709.0,3963.0,3480.0,7998.0,8613.0,79663.0,11,2,3371.0,2647.0,2396.0,1407.0,833.0,460.0,286.0,260.0,246.0,323.0,632.0,1919.0,14780.0,10,9690.0,10840.0,9957.88,4728.25,5388.0,6577.5,8882.5,11810.0,19735.0,1211.25,73.33,1116.0,1175.0,1183.5,1261.5,1334.0,1642.22,440.71,835.0,1496.0,1583.0,1923.0,2372.0,1204.44,71.57,1116.0,1175.0,1175.0,1216.0,1334.0,231.0,70.0,1.0,88.89,3.73,62.0,0.8856,49.0,0.79,62.0
Albany Park,170311401001004.0,Commercial,Multi 7+,16639.0,23502.0,19587.0,23327.0,26537.0,40725.0,41430.0,41268.0,26208.0,23230.0,43196.0,43582.0,369231.0,120,106,22813.0,18905.0,16890.0,10504.0,6981.0,4455.0,3456.0,3232.0,3306.0,3477.0,5898.0,14630.0,114547.0,141,127916.0,127916.0,16783.23,8619.23,4397.0,10304.0,14423.0,21560.0,39809.0,25583.2,1349.26,24751.0,24919.0,25020.0,25251.0,27975.0,5206.68,8745.32,114.0,317.0,1196.5,2344.0,28459.0,25583.2,1349.26,24751.0,24919.0,25020.0,25251.0,27975.0,456.0,180.0,3.0,81.8,2.73,167.0,0.9278,167.0,1.0,167.0
Albany Park,170311401001004.0,Residential,Multi 7+,2425.0,4718.0,3826.0,3250.0,4653.0,6628.0,6504.0,6803.0,6139.0,5239.0,5747.0,7446.0,63378.0,25,19,5009.0,4313.0,3772.0,2154.0,1645.0,771.0,745.0,781.0,526.0,602.0,1452.0,3748.0,25518.0,30,25086.0,25086.0,12675.6,4147.4,7233.0,9730.0,13322.0,16302.0,16791.0,25086.0,,25086.0,25086.0,25086.0,25086.0,25086.0,5103.6,10915.77,123.0,229.0,239.0,297.0,24630.0,25086.0,,25086.0,25086.0,25086.0,25086.0,25086.0,456.0,180.0,3.0,76.0,2.73,167.0,0.9278,167.0,1.0,167.0
Austin,170318313001031.0,Commercial,Multi < 7,,,,,,,,,,,,,,,10,307.0,373.0,287.0,174.0,152.0,61.0,51.0,54.0,31.0,53.0,89.0,242.0,1874.0,4,,2610.0,,,,,,,,,,,,,,,1874.0,,1874.0,1874.0,1874.0,1874.0,1874.0,2610.0,,2610.0,2610.0,2610.0,2610.0,2610.0,19.0,7.0,1.0,0.0,2.71,7.0,1.0,7.0,1.0,7.0
Albany Park,170311404004016.0,Commercial,Commercial,,,,,,,,,,,,,,,3,279.0,244.0,142.0,37.0,,1.0,,1.0,,,,216.0,920.0,Less than 4,,4307.0,,,,,,,,,,,,,,,460.0,345.07,216.0,216.0,460.0,704.0,704.0,4307.0,,4307.0,4307.0,4307.0,4307.0,4307.0,143.0,102.0,1.0,78.0,1.42,101.0,0.9902,100.0,0.99,101.0
Albany Park,170311405003007.0,Residential,Multi < 7,1317.0,72.0,54.0,664.0,927.0,1079.0,1634.0,1126.0,470.0,390.0,972.0,938.0,9643.0,Less than 4,1,,,,,,,,,,,,,,,1740.0,,9643.0,,9643.0,9643.0,9643.0,9643.0,9643.0,1740.0,,1740.0,1740.0,1740.0,1740.0,1740.0,,,,,,,,,,,,,,,28.0,10.0,2.0,110.0,2.8,10.0,1.0,2.0,0.2,10.0
Archer Heights,170315702001004.0,Commercial,Commercial,100940.0,88780.0,87459.0,84617.0,95077.0,99029.0,99860.0,95367.0,96374.0,86164.0,96093.0,94503.0,1124263.0,Less than 4,0,,,,,,,,,,,,,,,134500.0,,562131.5,116695.95,479615.0,479615.0,562131.5,644648.0,644648.0,67250.0,6858.94,62400.0,62400.0,67250.0,72100.0,72100.0,,,,,,,,,,,,,,,0.0,0.0,1.0,53.5,0.0,0.0,,0.0,,0.0
Dunning,170311710006027.0,Residential,Single Family,2188.0,1425.0,1299.0,1153.0,2593.0,3848.0,2014.0,2105.0,1483.0,1125.0,1264.0,1688.0,22185.0,Less than 4,0,,,,,,,,,,,,,,,3027.0,,22185.0,,22185.0,22185.0,22185.0,22185.0,22185.0,3027.0,,3027.0,3027.0,3027.0,3027.0,3027.0,,,,,,,,,,,,,,,29.0,14.0,2.0,110.0,2.07,14.0,1.0,3.0,0.214,14.0
Archer Heights,170315704002001.0,Commercial,Commercial,1390.0,1233.0,1178.0,1703.0,2360.0,3843.0,4760.0,4210.0,2164.0,1702.0,2020.0,1965.0,28528.0,6,6,,,,,,,,,,,,,,,5500.0,,28528.0,,28528.0,28528.0,28528.0,28528.0,28528.0,5500.0,,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,53.0,27.0,1.0,82.0,1.96,27.0,1.0,26.0,0.963,27.0
Ashburn,170317005011022.0,Residential,Multi 7+,8196.0,5446.0,3628.0,4450.0,4546.0,4110.0,3506.0,3320.0,3424.0,4723.0,12150.0,11539.0,69038.0,8,2,,,,,,,,,,,,,,,6769.0,,69038.0,,69038.0,69038.0,69038.0,69038.0,69038.0,6769.0,,6769.0,6769.0,6769.0,6769.0,6769.0,,,,,,,,,,,,,,,25.0,20.0,2.0,41.0,1.47,17.0,0.85,16.0,0.941,17.0
Auburn Gresham,170317109001005.0,Commercial,Multi < 7,318.0,520.0,377.0,248.0,223.0,30.0,55.0,114.0,113.0,109.0,196.0,26.0,2329.0,Less than 4,1,,,,,,,,,,,,,,,3550.0,,2329.0,,2329.0,2329.0,2329.0,2329.0,2329.0,3550.0,,3550.0,3550.0,3550.0,3550.0,3550.0,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,1.0,1.0,0.3333,1.0,1.0,1.0
Austin,170312506001001.0,Commercial,Multi 7+,355.0,320.0,270.0,225.0,240.0,302.0,468.0,485.0,468.0,643.0,932.0,1705.0,6413.0,Less than 4,3,,,,,,,,,,,,,,,18269.0,,6413.0,,6413.0,6413.0,6413.0,6413.0,6413.0,18269.0,,18269.0,18269.0,18269.0,18269.0,18269.0,,,,,,,,,,,,,,,58.0,37.0,3.0,83.0,2.52,23.0,0.6215,20.0,0.87,23.0
Austin,170312507002013.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,991.0,430.0,3121.0,Less than 4,0,,,,,,,,,,,,,,,2863.0,,3121.0,,3121.0,3121.0,3121.0,3121.0,3121.0,2863.0,,2863.0,2863.0,2863.0,2863.0,2863.0,,,,,,,,,,,,,,,96.0,35.0,2.0,83.0,3.2,30.0,0.8571,17.0,0.567,30.0
Austin,170318313001019.0,Residential,Multi < 7,0.0,589.0,467.0,1965.0,605.0,599.0,1800.0,951.0,620.0,669.0,620.0,837.0,9722.0,4,0,980.0,810.0,630.0,394.0,312.0,129.0,122.0,81.0,97.0,157.0,280.0,811.0,4803.0,4,3523.0,3523.0,9722.0,,9722.0,9722.0,9722.0,9722.0,9722.0,3523.0,,3523.0,3523.0,3523.0,3523.0,3523.0,4803.0,,4803.0,4803.0,4803.0,4803.0,4803.0,3523.0,,3523.0,3523.0,3523.0,3523.0,3523.0,31.0,10.0,3.0,111.0,3.44,9.0,0.9,6.0,0.667,9.0
Austin,170318313001028.0,Residential,Multi < 7,0.0,0.0,152.0,131.0,654.0,784.0,672.0,746.0,1240.0,1392.0,2053.0,2111.0,9935.0,6,7,1643.0,1655.0,897.0,634.0,263.0,105.0,62.0,39.0,41.0,81.0,449.0,1239.0,7108.0,7,4553.0,4553.0,3311.67,233.53,3118.0,3118.0,3246.0,3571.0,3571.0,4553.0,,4553.0,4553.0,4553.0,4553.0,4553.0,3554.0,4877.62,105.0,105.0,3554.0,7003.0,7003.0,4553.0,,4553.0,4553.0,4553.0,4553.0,4553.0,64.0,16.0,2.0,83.0,4.0,16.0,1.0,1.0,0.063,16.0
Austin,170318314002013.0,Commercial,Municipal,53512.0,1521485.0,1833760.0,1353016.0,1789707.0,2268410.0,2266550.0,2499934.0,2071938.0,1761959.0,1805256.0,1927900.0,21153427.0,Less than 4,1,,,,,,,,,,,,,,,49855.0,,10576714.0,13960405.64,705216.0,705216.0,10576713.5,20448211.0,20448211.0,24927.5,15658.88,13855.0,13855.0,24927.5,36000.0,36000.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
Avalon Park,170318343004001.0,Commercial,Multi < 7,1428.0,1356.0,1372.0,1361.0,1504.0,2951.0,2906.0,1738.0,2051.0,1854.0,2138.0,2064.0,22723.0,5,3,53.0,34.0,42.0,25.0,84.0,21.0,67.0,9.0,67.0,17.0,66.0,50.0,535.0,6,6632.0,,7574.33,4640.25,2227.0,2227.0,9954.0,10542.0,10542.0,6632.0,,6632.0,6632.0,6632.0,6632.0,6632.0,267.5,96.87,199.0,199.0,267.5,336.0,336.0,,,,,,,,26.0,13.0,1.0,0.0,2.17,12.0,0.9231,0.0,0.0,12.0
Greater Grand Crossing,170316910004007.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,97.0,,,,21.0,7.0,3.0,3.0,3.0,3.0,10.0,219.0,366.0,Less than 4,,2406.0,,,,,,,,,,,,,,,366.0,,366.0,366.0,366.0,366.0,366.0,2406.0,,2406.0,2406.0,2406.0,2406.0,2406.0,38.0,16.0,2.0,87.0,3.17,12.0,0.75,4.0,0.3329,12.0
Avondale,170312101001016.0,Commercial,Commercial,1489.0,1127.0,744.0,680.0,1002.0,1789.0,1689.0,1088.0,562.0,596.0,1493.0,2217.0,14476.0,5,0,509.0,443.0,409.0,271.0,149.0,104.0,72.0,63.0,66.0,68.0,88.0,234.0,2476.0,4,1926.0,1926.0,7238.0,6105.16,2921.0,2921.0,7238.0,11555.0,11555.0,1926.0,,1926.0,1926.0,1926.0,1926.0,1926.0,1238.0,849.94,637.0,637.0,1238.0,1839.0,1839.0,1926.0,,1926.0,1926.0,1926.0,1926.0,1926.0,0.0,0.0,1.0,105.0,0.0,0.0,,0.0,,0.0
Avondale,170312105011014.0,Commercial,Commercial,140.0,455.0,450.0,621.0,290.0,261.0,599.0,499.0,564.0,543.0,615.0,693.0,5730.0,Less than 4,0,,,,,,,,,,,,,,,2730.0,,2865.0,834.39,2275.0,2275.0,2865.0,3455.0,3455.0,2730.0,,2730.0,2730.0,2730.0,2730.0,2730.0,,,,,,,,,,,,,,,0.0,0.0,1.0,95.0,0.0,0.0,,0.0,,0.0
Avondale,170318311003022.0,Residential,Multi < 7,,,,,,,,,,,,,,,1,80.0,,80.0,,74.0,,75.0,,73.0,3.0,60.0,,445.0,8,,6953.0,,,,,,,,,,,,,,,148.33,40.38,104.0,104.0,158.0,183.0,183.0,6953.0,,6953.0,6953.0,6953.0,6953.0,6953.0,45.0,26.0,1.0,0.0,2.25,20.0,0.7692,19.0,0.95,20.0
Avondale,170318311004011.0,Commercial,Multi < 7,,,,,,,,,,,,,,,0,370.0,341.0,325.0,144.0,90.0,60.0,40.0,35.0,39.0,40.0,72.0,228.0,1784.0,Less than 4,,2670.0,,,,,,,,,,,,,,,1784.0,,1784.0,1784.0,1784.0,1784.0,1784.0,2670.0,,2670.0,2670.0,2670.0,2670.0,2670.0,139.0,49.0,2.0,85.0,3.09,45.0,0.9184,28.0,0.622,45.0
Belmont Cragin,170311901001023.0,Commercial,Multi < 7,1859.0,1726.0,2189.0,2174.0,2332.0,2827.0,2992.0,3067.0,2508.0,2385.0,3216.0,3118.0,30393.0,4,2,,,,,,,,,,,,,,,5266.0,,7598.25,9091.41,2074.0,2661.0,3565.0,12535.5,21189.0,5266.0,,5266.0,5266.0,5266.0,5266.0,5266.0,,,,,,,,,,,,,,,102.0,37.0,1.0,0.0,2.83,36.0,0.973,22.0,0.611,36.0
Belmont Cragin,170311913012015.0,Commercial,Municipal,,,,,,,,,,,,,,,10,40486.0,32463.0,22304.0,187.0,128.0,,,,,,5821.0,21727.0,123116.0,Less than 4,,616500.0,,,,,,,,,,,,,,,123116.0,,123116.0,123116.0,123116.0,123116.0,123116.0,616500.0,,616500.0,616500.0,616500.0,616500.0,616500.0,0.0,0.0,2.0,59.0,0.0,0.0,,0.0,,0.0
Belmont Cragin,170318315002001.0,Residential,Single Family,2823.0,1932.0,2386.0,2995.0,2726.0,4050.0,4214.0,6726.0,2335.0,1759.0,3070.0,3613.0,38629.0,4,0,533.0,457.0,361.0,195.0,151.0,89.0,93.0,84.0,86.0,91.0,173.0,479.0,2792.0,4,1252.0,1252.0,38629.0,,38629.0,38629.0,38629.0,38629.0,38629.0,1252.0,,1252.0,1252.0,1252.0,1252.0,1252.0,2792.0,,2792.0,2792.0,2792.0,2792.0,2792.0,1252.0,,1252.0,1252.0,1252.0,1252.0,1252.0,35.0,10.0,1.0,0.0,3.5,10.0,1.0,3.0,0.3,10.0
Beverly,170317202003000.0,Commercial,Commercial,,,,,,,,,,,,,,,0,11060.0,8525.0,6476.0,3461.0,2587.0,1170.0,915.0,871.0,1474.0,2660.0,5759.0,10599.0,55557.0,Less than 4,,44912.0,,,,,,,,,,,,,,,55557.0,,55557.0,55557.0,55557.0,55557.0,55557.0,44912.0,,44912.0,44912.0,44912.0,44912.0,44912.0,16.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,0.0,8.0
Bridgeport,170316006001016.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,688.0,782.0,992.0,3122.0,Less than 4,0,,,,,,,,,,,,,,,3288.0,,3122.0,,3122.0,3122.0,3122.0,3122.0,3122.0,3288.0,,3288.0,3288.0,3288.0,3288.0,3288.0,,,,,,,,,,,,,,,149.0,62.0,2.0,122.0,2.61,57.0,0.9194,39.0,0.684,57.0
Bridgeport,170316006002009.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,396.0,,622.0,153.0,117.0,81.0,69.0,74.0,75.0,120.0,229.0,406.0,2342.0,Less than 4,,1840.0,,,,,,,,,,,,,,,2342.0,,2342.0,2342.0,2342.0,2342.0,2342.0,1840.0,,1840.0,1840.0,1840.0,1840.0,1840.0,40.0,13.0,2.0,127.0,3.64,11.0,0.8462,7.0,0.636,11.0
Bridgeport,170316009001001.0,Commercial,Commercial,,,,,,,,,,,,,,,0,1667.0,1476.0,1042.0,643.0,412.0,246.0,292.0,268.0,290.0,320.0,688.0,1710.0,9054.0,16,,12920.0,,,,,,,,,,,,,,,565.88,321.06,124.0,211.5,698.0,853.5,964.0,4306.67,1030.54,3633.0,3633.0,3794.0,5493.0,5493.0,77.0,33.0,1.0,0.0,2.96,26.0,0.7879,26.0,1.0,26.0
Bridgeport,170318397003006.0,Commercial,Multi < 7,40.0,32.0,19.0,20.0,22.0,9.0,13.0,373.0,251.0,405.0,570.0,793.0,2547.0,4,4,722.0,593.0,338.0,184.0,95.0,52.0,54.0,55.0,84.0,111.0,262.0,744.0,3294.0,6,4620.0,4620.0,2547.0,,2547.0,2547.0,2547.0,2547.0,2547.0,4620.0,,4620.0,4620.0,4620.0,4620.0,4620.0,3294.0,,3294.0,3294.0,3294.0,3294.0,3294.0,4620.0,,4620.0,4620.0,4620.0,4620.0,4620.0,208.0,100.0,2.0,122.0,2.31,90.0,0.9,71.0,0.789,90.0
Bridgeport,170318401002021.0,Commercial,Commercial,8961.0,9863.0,10924.0,12487.0,12858.0,13301.0,14684.0,13460.0,10532.0,9208.0,8784.0,9727.0,134789.0,5,3,1969.0,,3186.0,1100.0,885.0,914.0,811.0,862.0,847.0,895.0,1294.0,2418.0,15181.0,6,,8200.0,134789.0,,134789.0,134789.0,134789.0,134789.0,134789.0,,,,,,,,15181.0,,15181.0,15181.0,15181.0,15181.0,15181.0,8200.0,,8200.0,8200.0,8200.0,8200.0,8200.0,0.0,0.0,1.0,12.0,0.0,0.0,,0.0,,0.0
Bridgeport,170318402001057.0,Residential,Multi < 7,2.0,3.0,2.0,91.0,136.0,153.0,126.0,106.0,81.0,61.0,36.0,11.0,808.0,Less than 4,2,,,,,,,,,,,,,,,3600.0,,808.0,,808.0,808.0,808.0,808.0,808.0,3600.0,,3600.0,3600.0,3600.0,3600.0,3600.0,,,,,,,,,,,,,,,3.0,4.0,2.0,132.0,1.5,2.0,0.5,2.0,1.0,2.0
Brighton Park,170315805013016.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,28.0,12.0,10.0,10.0,9.0,17.0,432.0,731.0,1249.0,Less than 4,0,,,,,,,,,,,,,,,2610.0,,1249.0,,1249.0,1249.0,1249.0,1249.0,1249.0,2610.0,,2610.0,2610.0,2610.0,2610.0,2610.0,,,,,,,,,,,,,,,70.0,25.0,3.0,91.0,3.89,18.0,0.72,15.0,0.833,18.0
